episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-0.8707269091823328,-0.8598277808268078,-179.9560493405351,-18.79899084804877,3.4277698426644627,[-18.79899084804877 3.4277698426644627],0.0,False,True,0.233699459551644,0,59.90599783360937,24.101,prepare,0.0
0,2.0,-0.8707470972981304,-0.8598288160771607,-179.9556357868725,-24.7955704844241,0.9965471434648752,[-24.7955704844241 0.9965471434648752],5.0,False,True,0.23373316050857118,0,59.90599783360937,24.167,in_progress,0.0
0,3.0,-0.8718435792237182,-0.8595993308188001,-179.84548025856859,30.0,0.5177049407738914,[30.0 0.5177049407738914],5.0,False,True,0.2355632071542227,0,59.90599783360937,24.223,in_progress,0.0
0,4.0,-0.8792448475522511,-0.8629509318788326,-179.4242388060672,2.2111454257874144,1.679813795980917,[2.2111454257874144 1.679813795980917],5.0,False,True,0.24792224691144965,0,59.90599783360937,24.296,in_progress,0.0
0,5.0,-0.9017159984022902,-0.8721641320795134,-177.23645763995117,30.0,2.1545266659281284,[30.0 2.1545266659281284],5.0,False,True,0.2854445770466234,0,59.90599783360937,24.368,in_progress,0.0
0,6.0,-0.9392010290625481,-0.8937161498642417,-172.4370362595822,-4.077943022605886,3.7474272343491863,[-4.077943022605886 3.7474272343491863],5.0,False,True,0.34804490697352086,0,59.90599783360937,24.434,in_progress,0.0
0,7.0,-0.9858681071059487,-0.9233180556532696,-167.11741493241996,-30.0,3.985558959960634,[-30.0 3.985558959960634],5.0,False,True,0.42598284145812115,1,59.90599783360937,24.479,in_progress,0.0
0,8.0,-1.056175651520428,-0.9412175854995334,-166.70946549442186,4.755590968486274,2.862694711621954,[4.755590968486274 2.862694711621954],5.0,False,True,0.5433685645253363,1,59.90599783360937,24.564,in_progress,0.0
0,9.0,-1.1294628423518884,-0.9547626294135646,-167.54765177973735,-30.0,4.0,[-30.0 4.0],4.0,False,True,0.6657226476637425,1,59.90599783360937,24.634,in_progress,0.0
0,10.0,-1.2212318198512957,-0.9713978827616606,-168.6080658495369,30.0,1.2865423271025467,[30.0 1.2865423271025467],4.0,False,True,0.8187899681350376,1,59.90599783360937,24.695,in_progress,0.0
0,11.0,-1.3274758852258555,-0.9790938612983525,-171.8973325742878,-30.0,0.9036058303820247,[-30.0 0.9036058303820247],4.0,False,True,0.996141188382597,1,59.90599783360937,24.767,in_progress,0.0
0,12.0,-1.4190981195059653,-0.9944339454029989,-171.3687123316476,-24.97434569900834,2.399536501416202,[-24.97434569900834 2.399536501416202],4.0,False,True,1.1490843718426962,2,59.90599783360937,24.83,in_progress,0.0
0,13.0,-1.51777535287507,-0.9994115174503498,-173.56460553116668,-30.0,4.0,[-30.0 4.0],4.0,False,True,1.3138044439546563,2,59.90599783360937,24.888,in_progress,0.0
0,14.0,-1.619496894441955,-0.9887854920491411,-178.51780100092628,30.0,4.0,[30.0 4.0],4.0,False,True,1.4836025317421275,2,59.90599783360937,24.968,in_progress,0.0
