episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
20,1.0,-0.8707269380309053,-0.8598264533794401,-179.95641105352772,30.0,3.3018840523129165,[30.0 3.3018840523129165],0.0,False,True,0.233699506028784,0,59.90599783360937,75.969,prepare,0.0
20,2.0,-0.8707269171215671,-0.8598263089809952,-179.95658052581086,30.0,2.2459083182191417,[30.0 2.2459083182191417],5.0,False,True,0.23369947094254911,0,59.90599783360937,76.028,in_progress,0.0
20,3.0,-0.8730483886005149,-0.859946948153394,179.86795197916834,30.0,4.0,[30.0 4.0],5.0,False,True,0.23757481284188078,0,59.90599783360937,76.095,in_progress,0.0
20,4.0,-0.878446916590634,-0.864207044070061,-178.9706316474607,-18.892351058295354,3.556880099860122,[-18.892351058295354 3.556880099860122],5.0,False,True,0.2465918645398207,0,59.90599783360937,76.147,in_progress,0.0
20,5.0,-0.9015491397613116,-0.8692315403488872,-177.8334471927293,17.59104063297866,2.999492335848962,[17.59104063297866 2.999492335848962],5.0,False,True,0.28516233327390295,0,59.90599783360937,76.229,in_progress,0.0
20,6.0,-0.9403625809245635,-0.8715986308883851,-177.6179775984575,-30.0,3.286796991907778,[-30.0 3.286796991907778],5.0,False,True,0.34995588522752763,0,59.90599783360937,76.3,in_progress,0.0
20,7.0,-1.0006512043068823,-0.8738509646263685,-177.73719561423465,-18.85569142006474,0.5,[-18.85569142006474 0.5],5.0,False,True,0.45059741545565807,1,59.90599783360937,76.371,in_progress,0.0
20,8.0,-1.059609501022016,-0.8577217611070138,177.97394854739545,30.0,3.8636816290325346,[30.0 3.8636816290325346],5.0,False,True,0.5489950033467954,1,59.90599783360937,76.432,in_progress,0.0
20,9.0,-1.1066714200249526,-0.8456698402229068,175.9075267705311,30.0,2.280268348161724,[30.0 2.280268348161724],5.0,False,True,0.6275393463046051,1,59.90599783360937,76.503,in_progress,0.0
20,10.0,-1.1817173116852595,-0.859632301097365,-179.84075985412983,21.07708523880178,1.80813335414661,[21.07708523880178 1.80813335414661],5.0,False,True,0.7528302580285724,1,59.90599783360937,76.553,in_progress,0.0
20,11.0,-1.2821335385515427,-0.9051341218812057,-170.20672464429407,-30.0,4.0,[-30.0 4.0],5.0,False,True,0.9204527855747965,1,59.90599783360937,76.64,in_progress,0.0
20,12.0,-1.343792574896094,-0.9367688628284303,-165.6013693646929,-25.818240615660343,2.1056390844529678,[-25.818240615660343 2.1056390844529678],5.0,False,True,1.0233787771295981,1,59.90599783360937,76.692,in_progress,0.0
